abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,120,"['Poison', 'Pin']",57,1059860,0.9,61,Nidorinoニドリーノ,Nidorino,100,33,55,55,65,poison,poison,19.5,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,45,['Drill'],77,1059860,1.4,81,Nidokingニドキング,Nidoking,100,34,85,75,85,poison,ground,62.0,1,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,150,['Fairy'],48,800000,0.6,70,Pippiピッピ,Clefairy,24.6,35,60,65,35,fairy,fairy,7.5,1,0
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,25,['Fairy'],73,800000,1.3,95,Pixyピクシー,Clefable,24.6,36,95,90,60,fairy,fairy,40.0,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,190,['Fox'],40,1000000,0.61,38,Rokonロコン,Vulpix,24.6,37,50,65,65,fire,ice,9.9,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,75,['Fox'],75,1000000,1.09,73,Kyukonキュウコン,Ninetales,24.6,38,81,100,109,fire,ice,19.9,1,0
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,170,['Balloon'],20,800000,0.5,115,Purinプリン,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,50,['Balloon'],45,800000,1.0,140,Pukurinプクリン,Wigglytuff,24.6,40,85,50,45,normal,fairy,12.0,1,0
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,255,['Bat'],35,1000000,0.8,40,Zubatズバット,Zubat,50,41,30,40,55,poison,flying,7.5,1,0
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,90,['Bat'],70,1000000,1.6,75,Golbatゴルバット,Golbat,50,42,65,75,90,poison,flying,55.0,1,0
"['Chlorophyll', 'Run Away']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,255,['Weed'],55,1059860,0.5,45,Nazonokusaナゾノクサ,Oddish,50,43,75,65,30,grass,poison,5.4,1,0
"['Chlorophyll', 'Stench']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,120,['Weed'],70,1059860,0.8,60,Kusaihanaクサイハナ,Gloom,50,44,85,75,40,grass,poison,8.6,1,0
"['Chlorophyll', 'Effect Spore']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,45,['Flower'],85,1059860,1.2,75,Ruffresiaラフレシア,Vileplume,50,45,110,90,50,grass,poison,18.6,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,190,['Mushroom'],55,1000000,0.3,35,Parasパラス,Paras,50,46,45,55,25,bug,grass,5.4,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,75,['Mushroom'],80,1000000,1.0,60,Parasectパラセクト,Parasect,50,47,60,80,30,bug,grass,29.5,1,0
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,190,['Insect'],50,1000000,1.0,60,Kongpangコンパン,Venonat,50,48,40,55,45,bug,poison,30.0,1,0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,75,"['Poison', 'Moth']",60,1000000,1.5,70,Morphonモルフォン,Venomoth,50,49,90,75,90,bug,poison,12.5,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,['Mole'],30,1000000,0.20,10,Digdaディグダ,Diglett,50,50,35,45,90,ground,ground,0.8,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,50,['Mole'],60,1000000,0.71,35,Dugtrioダグトリオ,Dugtrio,50,51,50,70,110,ground,ground,33.3,1,0
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,255,"['Scratch', 'Cat']",35,1000000,0.41,40,Nyarthニャース,Meowth,50,52,50,40,90,normal,dark,4.2,1,0
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,90,"['Classy', 'Cat']",60,1000000,0.99,65,Persianペルシアン,Persian,50,53,75,65,115,normal,dark,32.0,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,190,['Duck'],48,1000000,0.8,50,Koduckコダック,Psyduck,50,54,65,50,55,water,water,19.6,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,75,['Duck'],78,1000000,1.7,80,Golduckゴルダック,Golduck,50,55,95,80,85,water,water,76.6,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,190,"['Pig', 'Monkey']",35,1000000,0.5,40,Mankeyマンキー,Mankey,50,56,35,45,70,fighting,fighting,28.0,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,455,75,"['Pig', 'Monkey']",60,1000000,1.0,65,Okorizaruオコリザル,Primeape,50,57,60,70,95,fighting,fighting,32.0,1,0
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,350,190,['Puppy'],45,1250000,0.7,55,Gardieガーディ,Growlithe,75.4,58,70,50,60,fire,fire,19.0,1,0
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,75,['Legendary'],80,1250000,1.9,90,Windieウインディ,Arcanine,75.4,59,100,80,95,fire,fire,155.0,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,255,['Tadpole'],40,1059860,0.6,40,Nyoromoニョロモ,Poliwag,50,60,40,40,90,water,water,12.4,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,385,120,['Tadpole'],65,1059860,1.0,65,Nyorozoニョロゾ,Poliwhirl,50,61,50,50,90,water,water,20.0,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,5120,70,510,45,['Tadpole'],95,1059860,1.3,90,Nyorobonニョロボン,Poliwrath,50,62,70,90,70,water,fighting,54.0,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,310,200,['Psi'],15,1059860,0.9,25,Caseyケーシィ,Abra,75.4,63,105,55,90,psychic,psychic,19.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,5120,70,400,100,['Psi'],30,1059860,1.3,40,Yungererユンゲラー,Kadabra,75.4,64,120,70,105,psychic,psychic,56.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,600,50,['Psi'],65,1059860,1.5,55,Foodinフーディン,Alakazam,75.4,65,175,105,150,psychic,psychic,48.0,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,180,['Superpower'],50,1059860,0.8,70,Wanrikyワンリキー,Machop,75.4,66,35,35,35,fighting,fighting,19.5,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,5120,70,405,90,['Superpower'],70,1059860,1.5,80,Gorikyゴーリキー,Machoke,75.4,67,50,60,45,fighting,fighting,70.5,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,130,5120,70,505,45,['Superpower'],80,1059860,1.6,90,Kairikyカイリキー,Machamp,75.4,68,65,85,55,fighting,fighting,130.0,1,0
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,300,255,['Flower'],35,1059860,0.7,50,Madatsubomiマダツボミ,Bellsprout,50,69,70,30,40,grass,poison,4.0,1,0
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,90,5120,70,390,120,['Flycatcher'],50,1059860,1.0,65,Utsudonウツドン,Weepinbell,50,70,85,45,55,grass,poison,6.4,1,0
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,105,5120,70,490,45,['Flycatcher'],65,1059860,1.7,80,Utsubotウツボット,Victreebel,50,71,100,70,70,grass,poison,15.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,5120,70,335,190,['Jellyfish'],35,1250000,0.9,40,Menokurageメノクラゲ,Tentacool,50,72,50,100,70,water,poison,45.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,5120,70,515,60,['Jellyfish'],65,1250000,1.6,80,Dokukurageドククラゲ,Tentacruel,50,73,80,120,100,water,poison,55.0,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,3840,70,300,255,['Rock'],100,1059860,0.41,40,Isitsubuteイシツブテ,Geodude,50,74,30,30,20,rock,ground,20.0,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,3840,70,390,120,['Rock'],115,1059860,0.99,55,Goloneゴローン,Graveler,50,75,45,45,35,rock,ground,105.0,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,3840,70,495,45,['Megaton'],130,1059860,1.40,80,Golonyaゴローニャ,Golem,50,76,55,65,45,rock,ground,300.0,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,410,190,"['Fire', 'Horse']",55,1000000,1.0,50,Ponytaポニータ,Ponyta,50,77,65,65,90,fire,fire,30.0,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,100,5120,70,500,60,"['Fire', 'Horse']",70,1000000,1.7,65,Gallopギャロップ,Rapidash,50,78,80,80,105,fire,fire,95.0,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,5120,70,315,190,['Dopey'],65,1000000,1.2,90,Yadonヤドン,Slowpoke,50,79,40,40,15,water,psychic,36.0,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,590,75,"['Hermit', 'Crab']",180,1000000,1.6,95,Yadoranヤドラン,Slowbro,50,80,130,80,30,water,psychic,78.5,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,35,5120,70,325,190,['Magnet'],70,1000000,0.3,25,Coilコイル,Magnemite,,81,95,55,45,electric,steel,6.0,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,5120,70,465,60,['Magnet'],95,1000000,1.0,50,Rarecoilレアコイル,Magneton,,82,120,70,70,electric,steel,60.0,1,0
"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,5120,70,377,45,"['Wild', 'Duck']",55,1000000,0.8,52,Kamonegiカモネギ,Farfetch'd,50,83,58,62,60,normal,flying,15.0,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,310,190,"['Twin', 'Bird']",45,1000000,1.4,35,Dodoドードー,Doduo,50,84,35,35,75,normal,flying,39.2,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,5120,70,470,45,"['Triple', 'Bird']",70,1000000,1.8,60,Dodorioドードリオ,Dodrio,50,85,60,60,110,normal,flying,85.2,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,325,190,"['Sea', 'Lion']",55,1000000,1.1,65,Pawouパウワウ,Seel,50,86,45,70,45,water,water,90.0,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,5120,70,475,75,"['Sea', 'Lion']",80,1000000,1.7,90,Jugonジュゴン,Dewgong,50,87,70,95,70,water,ice,120.0,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,325,190,['Sludge'],50,1000000,0.89,80,Betbeterベトベター,Grimer,50,88,40,50,25,poison,poison,30.0,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,5120,70,500,75,['Sludge'],75,1000000,1.19,105,Betbetonベトベトン,Muk,50,89,65,100,50,poison,poison,30.0,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,305,190,['Bivalve'],100,1250000,0.3,30,Shellderシェルダー,Shellder,50,90,45,25,40,water,water,4.0,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,5120,70,525,60,['Bivalve'],180,1250000,1.5,50,Parshenパルシェン,Cloyster,50,91,85,45,70,water,ice,132.5,1,0
['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,35,5120,70,310,190,['Gas'],30,1059860,1.3,30,Ghosゴース,Gastly,50,92,100,35,80,ghost,poison,0.1,1,0
['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,405,90,['Gas'],45,1059860,1.6,45,Ghostゴースト,Haunter,50,93,115,55,95,ghost,poison,0.1,1,0
['Cursed Body'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,65,5120,70,600,45,['Shadow'],80,1059860,1.5,60,Gangarゲンガー,Gengar,50,94,170,95,130,ghost,poison,40.5,1,0
"['Rock Head', 'Sturdy', 'Weak Armor']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,6400,70,385,45,"['Rock', 'Snake']",160,1000000,8.8,35,Iwarkイワーク,Onix,50,95,30,45,70,rock,ground,210.0,1,0
